CONSELHEIRO LAFAIETE;43656
CONSELHEIRO PENA;43672
CONSOLAÇÃO;43699
CONTAGEM;43710
COQUEIRAL;43737
CORAÇÃO DE JESUS;43753
CORDISBURGO;43770
CORDISLÂNDIA;43796
CORINTO;43818
COROACI;43834
COROMANDEL;43850
CORONEL FABRICIANO;43877
CORONEL MURTA;43893
CORONEL PACHECO;43915
CORONEL XAVIER CHAVES;43931
COUTO DE MAGALHÃES DE MINAS;44016
CRISÓLITA;41963
CRISTÁLIA;44059
CRISTAIS;44032
CRISTIANO OTONI;44075
CRISTINA;44091
CRUCILÂNDIA;44113
CRUZÍLIA;44156
CRUZEIRO DA FORTALEZA;44130
CUPARAQUE;41980
CURRAL DE DENTRO;42005
CURVELO;44172
DATAS;44199
DELFIM MOREIRA;44210
DELFINÓPOLIS;44237
DELTA;42021
DESCOBERTO;44253
DESTERRO DE ENTRE RIOS;44270
DESTERRO DO MELO;44296
DIAMANTINA;44318
DIOGO DE VASCONCELOS;44334
DIONÍSIO;44350
DIVINÉSIA;44377
DIVINÓPOLIS;44458
DIVINO DAS LARANJEIRAS;44415
DIVINO;44393
DIVINOLÂNDIA DE MINAS;44431
DIVISÓPOLIS;40142
DIVISA ALEGRE;40126
DIVISA NOVA;44474
DOM BOSCO;42048
DOM CAVATI;44490
DOM JOAQUIM;44512
DOM SILVÉRIO;44539
DOM VIÇOSO;44555
DONA EUSÉBIA;44571
DORESÓPOLIS;44679
DORES DE CAMPOS;44598
DORES DE GUANHÃES;44610
DORES DO INDAIÁ;44636
DORES DO TURVO;44652
DOURADOQUARA;44695
DURANDÉ;40169
ELÓI MENDES;44717
ENGENHEIRO CALDAS;44733
ENGENHEIRO NAVARRO;44750
ENTRE FOLHAS;40185
ENTRE RIOS DE MINAS;44776
ERVÁLIA;44792
ESMERALDAS;44814
ESPÍRITO SANTO DO DOURADO;44873
ESPERA FELIZ;44830
ESPINOSA;44857
ESTIVA;44890
ESTRELA DALVA;44911
ESTRELA DO INDAIÁ;44938
ESTRELA DO SUL;44954
EUGENÓPOLIS;44970
EWBANK DA CÂMARA;44997
EXTREMA;45012
FAMA;45039
FARIA LEMOS;45055
FELÍCIO DOS SANTOS;45071
FELISBURGO;45110
FELIXLÂNDIA;45136
FERNANDES TOURINHO;45152
FERROS;45179
FERVEDOURO;40207
FLORESTAL;45195
FORMIGA;45217
FORMOSO;45233
FORTALEZA DE MINAS;45250
FORTUNA DE MINAS;45276
FRANCISCÓPOLIS;40223
FRANCISCO BADARÓ;45292
FRANCISCO DUMONT;45314
FRANCISCO SÁ;45330
FREI GASPAR;45357
FREI INOCÊNCIO;45373
FREI LAGONEGRO;42064
FRONTEIRA DOS VALES;49352
FRONTEIRA;45390
FRUTA DE LEITE;42080
FRUTAL;45411
FUNILÂNDIA;45438
GALILÉIA;45454
GAMELEIRAS;42102
GLAUCILÂNDIA;42129
GOIABEIRA;42145
GOIANÁ;42161
GONÇALVES;45470
GONZAGA;45497
GOUVEIA;45519
GOVERNADOR VALADARES;45535
GRÃO MOGOL;45551
GRUPIARA;45578
GUANHÃES;45594
GUAPÉ;45616
GUARACIABA;45632
GUARACIAMA;42188
GUARANÉSIA;45659
GUARANI;45675
GUARARÁ;45691
GUARDA-MOR;45713
GUAXUPÉ;45730
GUIDOVAL;45756
GUIMARÂNIA;45772
GUIRICEMA;45799
GURINHATÃ;45810
HELIODORA;45837
IAPU;45853
IBERTIOGA;45870
IBIÁ;45896
IBIAÍ;45918
IBIRACATU;42200
IBIRACI;45934
IBIRITÉ;45950
IBITIÚRA DE MINAS;45977
IBITURUNA;45993
ICARAÍ DE MINAS;40240
IGARAPÉ;46019
IGARATINGA;46035
IGUATAMA;46051
IJACI;46078
ILICÍNEA;46094
IMBÉ DE MINAS;42226
INCONFIDENTES;46116
INDAIABIRA;42242
INDIANÓPOLIS;46132
INGAÍ;46159
INHAÚMA;46191
INHAPIM;46175
INIMUTABA;46213
IPABA;40266
IPANEMA;46230
IPATINGA;46256
IPIAÇU;46272
IPUIÚNA;46299
IRAÍ DE MINAS;46310
ITAÚ DE MINAS;54453
ITAÚNA;46752
ITABIRA;46337
ITABIRINHA;46353
ITABIRITO;46370
ITACAMBIRA;46396
ITACARAMBI;46418
ITAGUARA;46434
ITAIPÉ;46450
ITAJUBÁ;46477
ITAMARANDIBA;46493
ITAMARATI DE MINAS;46515
ITAMBÉ DO MATO DENTRO;46558
ITAMBACURI;46531
ITAMOGI;46574
ITAMONTE;46590
ITANHANDU;46612
ITANHOMI;46639
ITAOBIM;46655
ITAPAGIPE;46671
ITAPECERICA;46698
ITAPEVA;46710
ITATIAIUÇU;46736
ITAVERAVA;46779
ITINGA;46795
ITUETA;46817
ITUIUTABA;46833
ITUMIRIM;46850
ITURAMA;46876
ITUTINGA;46892
JAÍBA;40282
JABOTICATUBAS;46914
JACINTO;46930
JACUÍ;46957
JACUTINGA;46973
JAGUARAÇU;46990
JAMPRUCA;40304
JANAÚBA;47015
JANUÁRIA;47031
JAPARAÍBA;47058
JAPONVAR;42269
JECEABA;47074
JENIPAPO DE MINAS;42285
JEQUERI;47090
JEQUITAÍ;47112
JEQUITIBÁ;47139
JEQUITINHONHA;47155
JESUÂNIA;47171
JOÃO MONLEVADE;47236
JOÃO PINHEIRO;47252
JOAÍMA;47198
JOANÉSIA;47210
JOAQUIM FELÍCIO;47279
JORDÂNIA;47295
JOSÉ GONÇALVES DE MINAS;42307
JOSÉ RAYDAN;42323
JOSENÓPOLIS;40924
JUATUBA;40320
JUIZ DE FORA;47333
JURAMENTO;47350
JURUAIA;47376
JUVENÍLIA;40940
LADAINHA;47392
LAGAMAR;47414
LAGOA DA PRATA;47430
LAGOA DOS PATOS;47457
LAGOA DOURADA;47473
LAGOA FORMOSA;47490
LAGOA GRANDE;40347
LAGOA SANTA;47511
LAJINHA;47538
LAMBARI;47554
LAMIM;47570
LARANJAL;47597
LASSANCE;47619
LAVRAS;47635
