CIPOTANEA;43257;5854
CLARAVAL;43273;4801
CLARO DOS POCOES;43290;6877
CLAUDIO;43311;20161
COIMBRA;43338;6030
COLUNA;43354;7195
COMENDADOR GOMES;43370;2635
COMERCINHO;43397;6950
CONCEICAO DA APARECIDA;43419;8061
CONCEICAO DA BARRA DE MINAS;43036;3610
CONCEICAO DAS ALAGOAS;43451;19553
CONCEICAO DAS PEDRAS;43435;2684
CONCEICAO DE IPANEMA;43478;3895
CONCEICAO DO MATO DENTRO;43494;15846
CONCEICAO DO PARA;43516;5110
CONCEICAO DO RIO VERDE;43532;10443
CONCEICAO DOS OUROS;43559;7981
CONEGO MARINHO;41904;5868
CONFINS;41920;6126
CONGONHAL;43575;8675
CONGONHAS DO NORTE;43613;4218
CONGONHAS;43591;40231
CONQUISTA;43630;5325
CONSELHEIRO LAFAIETE;43656;91788
CONSELHEIRO PENA;43672;17072
CONSOLACAO;43699;1883
CONTAGEM;43710;456931
COQUEIRAL;43737;7900
CORACAO DE JESUS;43753;21561
CORDISBURGO;43770;7238
CORDISLANDIA;43796;2683
CORINTO;43818;20209
COROACI;43834;9632
COROMANDEL;43850;23450
CORONEL FABRICIANO;43877;81039
CORONEL MURTA;43893;7206
CORONEL PACHECO;43915;2697
CORONEL XAVIER CHAVES;43931;2858
CORREGO DANTA;43958;3185
CORREGO DO BOM JESUS;43974;4060
CORREGO FUNDO;41947;5211
CORREGO NOVO;43990;3234
COUTO DE MAGALHAES DE MINAS;44016;4038
CRISOLITA;41963;5076
CRISTAIS;44032;8329
CRISTALIA;44059;5207
CRISTIANO OTONI;44075;4343
CRISTINA;44091;8266
CRUCILANDIA;44113;5111
CRUZEIRO DA FORTALEZA;44130;4140
CRUZILIA;44156;12457
CUPARAQUE;41980;4353
CURRAL DE DENTRO;42005;6159
CURVELO;44172;56718
DATAS;44199;4887
DELFIM MOREIRA;44210;6773
DELFINOPOLIS;44237;6334
DELTA;42021;6410
DESCOBERTO;44253;4568
DESTERRO DE ENTRE RIOS;44270;5955
