"45039";"FAMA";"2446";"Sul de Minas"
"45250";"FORTALEZA DE MINAS";"3029";"Sul de Minas"
"48593";"MONTE BELO";"8733";"Sul de Minas"
"48631";"MONTE SANTO DE MINAS";"13946";"Sul de Minas"
"48674";"MONTE SIAO";"13708";"Sul de Minas"
"48755";"MUNHOZ";"5047";"Sul de Minas"
"48810";"MUZAMBINHO";"14016";"Sul de Minas"
"48879";"NATERCIA";"3608";"Sul de Minas"
"48917";"NEPOMUCENO";"16792";"Sul de Minas"
"49018";"NOVA RESENDE";"9651";"Sul de Minas"
"49093";"OLIMPIO NORONHA";"1986";"Sul de Minas"
"49190";"OURO FINO";"20035";"Sul de Minas"
"49433";"PARAGUACU";"13444";"Sul de Minas"
"49450";"PARAISOPOLIS";"13126";"Sul de Minas"
"49514";"PASSA QUATRO";"10393";"Sul de Minas"
"49557";"PASSA VINTE";"1773";"Sul de Minas"
"49573";"PASSOS";"62922";"Sul de Minas"
"49816";"PEDRALVA";"7732";"Sul de Minas"
"50172";"PIRANGUCU";"3729";"Sul de Minas"
"50199";"PIRANGUINHO";"5656";"Sul de Minas"
"50334";"POCO FUNDO";"10971";"Sul de Minas"
"50350";"POCOS DE CALDAS";"87748";"Sul de Minas"
"50490";"POUSO ALEGRE";"73684";"Sul de Minas"
"50512";"POUSO ALTO";"4518";"Sul de Minas"
"50571";"PRATAPOLIS";"6377";"Sul de Minas"
"50938";"RIBEIRAO VERMELHO";"2802";"Sul de Minas"
"51659";"SANTANA DA VARGEM";"5130";"Sul de Minas"
"51837";"SANTA RITA DE CALDAS";"6372";"Sul de Minas"
"51918";"SANTA RITA DO SAPUCAI";"22673";"Sul de Minas"
"52159";"SAO BENTO ABADE";"3399";"Sul de Minas"
"40231";"AIURUOCA";"4254";"Sul de Minas"
"40258";"ALAGOA";"2158";"Sul de Minas"
"40274";"ALBERTINA";"2047";"Sul de Minas"
"40312";"ALFENAS";"44025";"Sul de Minas"
"40371";"ALPINOPOLIS";"12386";"Sul de Minas"
"40398";"ALTEROSA";"9438";"Sul de Minas"
"40517";"ANDRADAS";"22895";"Sul de Minas"
"40550";"ANDRELANDIA";"8107";"Sul de Minas"
"40711";"ARANTINA";"2535";"Sul de Minas"
"40819";"ARCEBURGO";"6063";"Sul de Minas"
"40843";"SENADOR AMARAL";"4041";"Sul de Minas"
"40851";"AREADO";"9249";"Sul de Minas"
"40975";"BAEPENDI";"12983";"Sul de Minas"
"41050";"BANDEIRA DO SUL";"4127";"Sul de Minas"
"41416";"BOA ESPERANCA";"23958";"Sul de Minas"
"41432";"BOCAINA DE MINAS";"3958";"Sul de Minas"
"41491";"BOM JARDIM DE MINAS";"4973";"Sul de Minas"
"41513";"BOM JESUS DA PENHA";"2699";"Sul de Minas"
"41572";"BOM REPOUSO";"7083";"Sul de Minas"
"41645";"SAO JOSE DA BARRA";"4978";"Sul de Minas"
"41653";"BORDA DA MATA";"11005";"Sul de Minas"
"41670";"BOTELHOS";"10264";"Sul de Minas"
"41777";"BRASOPOLIS";"10276";"Sul de Minas"
"41815";"BUENO BRANDAO";"7162";"Sul de Minas"
"41890";"CABO VERDE";"8318";"Sul de Minas"
"41939";"CACHOEIRA DE MINAS";"7464";"Sul de Minas"
"42056";"CALDAS";"9184";"Sul de Minas"
"42099";"CAMANDUCAIA";"13209";"Sul de Minas"
"42110";"CAMBUI";"16007";"Sul de Minas"
